,Id,Name,NativeName,Description,MainRuleset,LudiiRuleset,Reference,Origin,DLPGame,PublicGame,knownAliases,Author,Publisher,ProprietaryGame,Credit,SeeAlso,BGGId,OriginPoint,EvidenceRange,WishlistGame,Notes,HelpUs,ForceRulesetInLud,DisableWebApp,ReconstructionDescriptionDone
10,13,ArdRi,,"ArdRi is purported to be a Scottish tafl game played on a 7x7 grid. It is claimed to be a traditional Scottish game by various sites online, but the validity of this assertion is in question.",41,41.0,,,0,1,,,,0,Eric Piette,,33683.0,,"0,5520",0,,0,0,0,0
11,14,Hnefatafl,,"Hnefatafl is a Nordic game mentioned frequently in medieval texts from Scandinavia, Iceland, and the British Isles. Hnefatafl appears to be related to a range of other tafl games, in which on side has a king and a smaller number of pawns, situated in the center of the board, playing against an opponent with more pieces. The king's goal is largely thought to be to escape to one of the corners, and the opponent's goal is to capture the king.",544,42.0,Murray 1951: 55–64.,Scandinavia,1,1,Tafl,,,0,Eric Piette,,2932.0,"64°56'9.96""N, 18°37'55.61""W","4290,4913",0,,0,0,0,0
12,15,Arimaa,,"Invented in 2003 by Omar Syed, Arimaa was invented as a Chess variant to be difficult for computers to learn, but easy for humans.",43,43.0,,,0,1,,Omar Syed and Aamir Syed,,0,Eric Piette,,4616.0,,"0,5520",0,,0,0,0,0
13,16,Chess,,"Ultimately originates from Indian Chaturanga, arrived in Western Europe during the Middle Ages as Shatranj. Over several centuries, after seeming experimentation with movement, the adoption of the modern movement of the queen and bishop made chess what it is today. Modern Chess appeared sometimes during the fourteenth or fifteenth Century, when the vizier piece was replaced by the queen. It since has become perhaps the most popular game in the world, with massive international competitions.",44,44.0,Murray 1913: 776-890; Murray 1951:83–84.,Europe,1,1,"Mad Queen's Chess, Queen's Chess, Échecs, Schach, Ajedrez, Xadrez, Scacchi",,,0,Eric Piette,,171.0,"49°26'38.61""N, 2°38'47.82""E","4975,5522",0,,0,0,0,0
14,17,Double Chess,,"Invented in 1916 by Julian S. Grant Hayward, Double Chess is a Chess variant played on a 12x16 board. Each player has two complete sets of Chess pieces starting along the 16 square edge of the board.",45,45.0,,,0,1,,Julian S. Grant Hayward,,0,Eric Piette,,,,"0,5520",0,,0,0,0,0
15,18,Shogi,,"Shogi is a capturing game that is native to Japan. Early evidence suggests it was played in some recognizable form during the Heian Period. It has been hugely popular since then in Japan, and today is known throughout the world. It originated ultimately from Indian Chaturanga, like many other games such as Chess, Shatranj, and Xiangqi.",46,46.0,Murray 1913: 138-148.,Japan,1,1,Sho-Shogi,,,0,Eric Piette,,2065.0,"34°40'58.54""N, 135°49'55.78""E","4558,4558",0,,0,0,0,0
16,19,Skirmish (GDL),,"Skirmish, a Chess variant by Alex Landau, has the same rules as Chess, but without checkmate and with a 100 turn limit.",47,47.0,,,0,1,,Alex Landau,,0,Eric Piette,,,,"0,5520",0,,0,0,0,0
17,20,Stratego,,"Stratego was created by Jacques Johan Mogendorff before 1942, but was derived from the game L'Attaque, invented by Hermance Edan.",48,48.0,,,0,0,,Jacques Johan Mogendorff,Jumbo Games,1,Eric Piette,,1917.0,,"0,5520",0,,0,0,0,0
18,21,Xiangqi,,"Xiangqi, or ""Elephant Game,"" is a Chinese game ultimately derived from Indian Chaturanga. Its exact date of origin is disputed, but it has been popular in China for over a thousand years.",49,49.0,Murray 1913: 121–134.,China,1,1,Siang K'i,,,0,Eric Piette,,2393.0,"39°51'24.09""N, 118°43'1.48""E","4279,4627",0,,0,0,0,0
19,22,Fanorona,,"Fanorona is perhaps the most popular game in Madagascar. It has been documented there since the nineteenth century, but it plays a part in many Malagasy stories about their past so it likely has a much longer history there. It is often played outside, and most households in Madagascar have a Fanorona board in them.",50,50.0,Murray 1951: 87–89.,Madagascar,1,1,,,,0,Eric Piette,,4386.0,"24°33'51""S, 45°6'30.38""E","5396,5396",0,,0,0,0,0
20,23,Surakarta,,"Surakarta is purported to be from Java in Indonesia, but this claim may have been a marketing ploy by Ravensberger when the game was first published in Germany in 1971.",51,51.0,,,0,1,,,,0,Eric Piette,,13715.0,,"0,5520",0,,0,0,0,0
21,24,Alquerque,,"First mentioned in the tenth century by the Persian historian Abu al-Faraj al-Isfahani, who calls it ""Qirq,"" a term for merels games. The first description of rules are found in Alfonso X's Libro de los Juegos in 13th century Spain. Many historians consider Alquerque to be an ancestor of Draughts and many other games in cultures that interacted with Islamic peoples or the Spanish.",52,52.0,,Islamic World,1,1,"Alquerque de Doze, Qirq",,,0,Eric Piette,,11464.0,"40°9'58.58""N, 6°33'26.1""W","4721,5174",0,,0,0,0,0
22,25,Brazilian Draughts,,"Brazilian Draughts is played in Brazil, and seems to have been invented and popularised in the late nineteenth or early twentieth century there, though its exact origins are not well documented.",53,53.0,,Brazil,0,1,,,,0,Eric Piette,,,,"0,5520",0,,0,0,0,0
23,26,Canadian Draughts,,"Canadian Draughts is played on a 12x12 checker board and is popular in Canada (particularly Quebec) and was also known to be played in New England. Anecdotally, it is said to have been invented by French settlers to Quebec, but 12x12 boards are known from Europe before this. Played on a 12x12 board with 30 pieces per player. Otherwise, follows the rules of International Draughts.",54,54.0,Murray 1951: 81.,Canada,1,1,"Le Jeu Franc, Le Jeu de Dames Canadien",,,0,Eric Piette,,,"45°30'0.12""N, 73°34'14.55""W","5375,5375",0,,0,0,0,0
24,27,Dama,,"Played in Turkey, Greece, Egypt, the Levant, and other places in Southwest Asia. The game is first documented during the late seventeenth century. It also is played among coastal communities in East Africa and Indian Ocean Islands (such as Comoros), probably through trade with the Ottoman Empire.",55,55.0,Murray 1951: 82,Southwest Asia,1,1,Turkish Draughts,,,0,Eric Piette,,,"37°44'24.31""N, 33°42'55.27""E","5194,5194",0,,0,0,0,0
25,28,English Draughts,,"One of the most popular versions of Draughts, derived from the medieval game of Draughts but with the difference of the forced capture, hence its early name ""Forçat."" It probably originated in France, but it gained greater popularity in Britain, and spread from there to the American colonies and to some Native American populations. It remains a popular game today.",56,56.0,Murray 1951: 76–77 van der Stoep 1984: 147–149,France,1,1,"Dams, Dames, Forçat, Forcé, Dammes, Checkers",,,0,Eric Piette,,2083.0,"47°35'13.66""N, 4°3'4.85""E","5034,5034",0,,0,0,0,0
26,29,Nei-Pat-Kono,,"Nei-Pat-Kono is a game played in Korea at least since the end of the nineteenth century, and likely earlier. It is a game of leaping captures similar to others common around the world.",57,57.0,Murray 1951:92,Korea,1,1,Four Field Kono,,,0,Eric Piette,,20560.0,"39°40'2.05""N, 126°1'56.95""E","5395,5395",0,,0,0,0,0
27,30,International Draughts,,"International Draughts, which is also commonly known as Polish Draughts, has become one of the most widely-played forms of Draughts in the world, and is played in international competitions. It seems to have originated in the eighteenth century in Paris, and spread throughout Europe from there and to the rest of the world through European colonisation.",58,58.0,Murray 1951: 80–81,France,1,1,"Polish Draughts, Dam Blas",,,0,Eric Piette,,,"51°29'54.44""N, 0°7'35.38""W","5233,5233",0,,0,0,0,0
28,31,Konane,,"Konane is an indigenous Hawaiian game played on a board that varies: it can range from 6x6 to more than 14x14, and does not have to be square. It is a game with leaping capture, and has been played at least since the eighteenth century, but probably for longer. Konane boards can be found on rock surfaces throughout Hawaii, but they are difficult to date.",59,59.0,Murray 1951: 97,Hawaii,1,1,,,,0,Eric Piette,,8122.0,"20°48'55.49""N, 156°59'14.72""W","5279,5424",0,,0,0,0,0
29,32,Lasca,,Lasca was invented by Emanuel Lasker in 1911. It is a combination of American checkers and a Russian game Bashni.,60,60.0,,,0,1,"Laska, Laskers",,,0,Eric Piette,,6862.0,,"0,5520",0,,0,0,0,0
30,34,Mogul Putt'han,,"Mogul Putt'han is played throughout South Asia, documented since the early nineteenth century and likely is older. It is played on an alquerque board with triangular extensions on two opposite sides.",61,61.0,Murray 1951: 67,South Asia,1,1,Mughal-Pathan,,,0,Eric Piette,,,"18°6'36.78""N, 77°42'31.49""E","5332,5433",0,,0,0,0,0
31,35,Peralikatuma,,"Peralikatuma is a board game played in Sri Lanka and other places in South Asia, documented since the early twentieth century but likely to be older. The game is played on an Alquerque board, 5x5 intersecting lines, with triangular appendages on each of the four sides.",62,62.0,Murray 1951: 68,South Asia,1,1,Perali Kotuwa,,,0,Eric Piette,,,"6°28'48.36""N, 80°11'36.41""E","5409,5409",0,,0,0,0,0
32,36,Hewakam Keliya,,Hewakam Keliya is a game from South Asia that is similar to other games with leaping captures found in the region.,558,558.0,,,1,1,Sixteen Soldiers,,,0,Eric Piette,,13756.0,"7°59'31.6""N, 80°26'10.13""E","5409,5409",0,,0,0,0,0
33,37,Zamma,,"Zamma is a leaping capture game played in North Africa. It has been documented since at least the twentieth century, but is probably much older. It is related to other similar games from the area such as Draughts and Alquerque.",64,64.0,Murray 1951: 69.,North Africa,1,1,"Dâmma, Zamet",,,0,Eric Piette,,,"14°48'42.37""N, 9°12'53.39""E","5450,5450",0,,0,0,0,0
34,38,Aw-li On-nam Ot-tjin,,"Aw-li On-nam Ot-tjin is a mancala-style game played in Borneo, documented among the Penihing people, but also claimed to be played by other groups of people throughout Borneo. It is typically played on a wooden board (""tu-tong ot-tjin"") with two rows of 9 holes, with a larger hole at either end.",65,65.0,,Borneo,1,1,"Ot-tjin, Play On-nam Fish, Fish",,,0,Eric Piette,,,"3°32'14.29""N, 117°5'56.84""E","5413,5417",0,,0,0,0,0
35,39,Das Bohnenspiel,,"Das Bohnenspiel is a two-row mancala-style game described by Fritz Jahn, who described the game and two boards, one said to be a duplicate of one used by Catherina II of Russia to play with the Persian Shah 100 years before, and a another from the wife of the Oberpresident of Waldow, who played it during her childhood in Sczeczin. The game was popular among German-Baltic and Prussian royal families during the 19th century, but was popularized with Jahn's book. It continued play through at least the 1980s, as several East German books were published about it.",66,66.0,,Russia? Iran?,1,1,,,,0,Eric Piette,,,"53°25'44.69""N, 14°33'11.26""E","5408,5423",0,,0,0,0,0
36,40,En Gehe,En Gehé,"En Gehé is a two-row mancala-style game played by the Loitha and Misonga Masai in northern Tanzania. It is reported to be exclusively played by men, usually in two teams of eight people. It is played on a board with rows of holes dug into the ground.",67,67.0,Murray 1951: 199.,East Africa,1,1,"Guehe, 'n Gehén",,,0,Eric Piette,,39473.0,"4°12'38.6""S, 37°47'44.54""E","5404,5404",0,,0,1,0,0
37,41,Kalah,,"Kalah is a mancala-style game ""imported"" or likely invented by William Julius Champion in 1940.",68,68.0,,,0,1,,,,0,Eric Piette,,2448.0,,"0,5520",0,,0,0,0,0
38,42,Oware,,"Oware is two-row mancala-style game originating and very popular in West Africa. It is also widely played in the Caribbean. It is played on a board with two rows of six holes, sometimes with a larger hole on both ends.",69,69.0,Murray 1951: 181–182.,West Africa,1,1,"Ayò, Ayoayo, Awalé, Wari, Ouri, Ourii, Uri, Warri, Wall, Adji, Ncho, Okwè, Awale, Awari",,,0,Eric Piette,,28302.0,"7°7'30.72""N, 1°7'12.43""W","5427,5427",0,,0,0,0,0
39,43,Latin Square,,"A Latin Square is a mathematical puzzle which appears in various cultures around the world, probably independently invented.",70,70.0,,,1,1,,,,0,Eric Piette,,,"40°0'0.1""N, 127°6'54.65""E","5200,5200",0,,0,0,0,0
40,44,Chinese Checkers,,"Chinese Checkers, originally known as ""Sternhalma,"" was invented in Germany in 1892 as a variant of the older American game Halma. It was called Chinese Checkers as a marketing ploy in the United States in 1928.",71,71.0,,Germany,0,1,Sternhalma,,,0,Eric Piette,,2386.0,,"0,5520",0,,0,0,0,0
41,45,Halma,,"Halma was invented in 1883 by George Howard Monks in Boston, and inspired other games such as Chinese Checkers.",72,72.0,,,0,1,,,,0,Eric Piette,,38950.0,,"0,5520",0,,0,0,0,0
42,46,Breakthrough,,"Invented in 2000 by Dan Troyka, Breakthrough is a Chess variant played only with pawns.",73,73.0,,,0,1,,,Zillions of Games,0,Eric Piette,,3825.0,,"0,5520",0,,0,0,0,0
43,47,Knightthrough,,"Knightthrough is a Chess variant similar to Breakthrough, using knights instead of pawns.",74,74.0,,,0,1,,,,0,Eric Piette,,,,"0,5520",0,,0,0,0,0
44,48,Sneakthrough,,"Sneakthrough is a Chess variant that was invented for Ludii. It is BreakThrough, but the opponent's pieces are hidden.",75,75.0,,,0,1,,Cameron Browne,Ludii,0,Eric Piette,,,,"0,5520",0,,0,0,0,0
45,49,Backgammon,,"Backgammon as it is known today seems to have been invented around the seventeenth century, but the games from which it developed are much older.. The origins of these games lie sometime in the early centuries CE, and it is related to the Roman board game XII Scripta and the Persian game Nard. Early boards can be found from around the sixth century in South and Southwest Asia, though other games such as Tric-Trac and Tables were also been played on the same board in medieval and early modern Europe.",76,76.0,Murray 1951: 122,,1,1,,,,0,Eric Piette,,2397.0,"52°45'22.65""N, 0°4'54.29""E","5174,5253",0,,0,0,0,0
46,50,Royal Game of Ur,,"The so-called Royal Game of Ur—we do not know its ancient name—is one of the oldest known board games, dating to the third millennium BCE. While no rules have been passed down for this game specifically, a rule set based on a successor game, 20 Squares, has been applied to this slightly different board. The board consists of a grid of 3x4 squares, connected to a grid of 3x2 squares by a short bridge of 1x2 squares connecting the central rows of the other two grids. The game was played with four tetrahedral dice and 7 small disks per player as playing pieces.",10,77.0,,Mesopotamia,1,1,,,,0,Eric Piette,7,,"30°38'59.39""N, 61°23'59.85""E","500,1600",0,,0,0,0,0
47,51,Gyan Chaupar,,"Gyan Chaupar is a game originating in India at an unknown time in the past. Since its origin in India, the game had moralistic tones, with setback and boons in the game associated with immoral or moral behavior, respectively. There are different variations based on Jain, Hindu, Islamic, and other religious traditions. It came to England around 1890 and was commercialized in other places like the Unites States as ""Snakes (or Chutes) and Ladders.""",78,78.0,Murray 1951: 143,India,1,1,"Snakes and Ladders, Chutes and Ladders",,,0,Eric Piette,,5432.0,"27°41'23.31""N, 72°30'18.43""E","5235,5399",0,,0,0,0,0
48,52,Amazons,,Invented in 1988 by Walter Zamkauskas and first published in the Argentine magzine El Acertijo in December 1992.,79,79.0,,Argentina,0,1,,Walter Zamkauskas,,0,Eric Piette,,2125.0,,"0,5520",0,,0,0,0,0
49,53,L Game,,L game was invented by Edward do Bono in 1967. It is a blocking game played by moving pieces which take up several spaces on a board.,80,80.0,,,0,1,,,,0,Eric Piette,,6474.0,,"0,5520",0,,0,0,1,0
50,54,Mu Torere,,"Mu Torere is a game played by the Maori of New Zealand. It is unknown how old the game is, Best claims that it was not played by Maori people in all parts of New Zealand. The board takes the form of a circle divided into eighths, with eight points on the circumference (kewai) and the central point (putahi) being playing spaces.",81,81.0,Murray 1951: 93,New Zealand,1,1,,,,0,Eric Piette,,13657.0,"37°45'41.41""S, 178°8'21.7""E","5412,5412",0,,0,0,0,0
51,55,Hex,,"Hex was invented by Piet Hein in 1942 then described again by John Nash in 1944. It is played on a rhombus tiled by hexagons, most commonly 11x11 in size.",82,82.0,,,0,1,,,,0,Eric Piette,,4112.0,,"0,5520",0,,0,0,0,0
52,56,Y (Hex),,"Y (Hex) is a version of Hex created by Eric Piette for Ludii. It is played with hexagonal spaces arranged in a triangular board, 8 spaces on each side is typical.",83,83.0,,,0,1,,Eric Piette,Ludii,0,Eric Piette,,,,"0,5520",0,,0,0,0,0
53,57,Achi,,"This game was observed played by Yoruba people, who called it Akidada, and in Ghana, during the early twentieth century. The board was traced into the sand, and the players used pieces which took the form of sticks made from palm leaves, one player using green sticks and the other using brown.",563,563.0,,,1,1,Ati,,,0,Eric Piette,,28931.0,"5°25'22.24""N, 2°30'11.25""W","5428,5429",0,,0,0,0,0
54,58,All Queens Chess,,Designed in the early 2000s by Elliot Rudell and published by The Happy Puzzle Company and ThinkFun.,85,85.0,,,0,1,Ducks in a Row,"Elliot Rudell, Rudell Design","The Happy Puzzle Company, ThinkFun",0,Eric Piette,,34948.0,,"0,5520",0,,0,0,0,0
55,59,Andantino,,"Invented in 1995 by David L. Smith, Andantino is a tile-placing game using hexagonal tiles published by Nestor Games.",86,86.0,,,0,1,,David L. Smith,nestorgames (used with permission),0,Eric Piette,,11893.0,,"0,5520",0,,0,0,1,0
56,60,Connect Four,,"Connect Four is a two-player connection game that was designed by Howard Wexler and Ned Strongin, and was first sold under this name by Milton Bradley in 1974.",87,87.0,,,0,1,"Four Up, Plot Four, Find Four, Four in a Row, Four in a Line, Drop Four, Gravitrips","Howard Wexler, Ned Strongin",Milton Bradley / Hasbro,0,Eric Piette,,2719.0,,"0,5520",0,,0,0,0,0
57,61,Connect6,,Connect6 is a game invented by I-Chen Wu in Taiwan in 2003 and played on a Go board. The goal of the game is to make a line of six pieces.,88,88.0,,Taiwan,0,1,,Professor I-Chen Wu,,0,Eric Piette,,22847.0,,"0,5520",0,,0,0,0,0
58,62,Dara,,"Dara is a game that is said to be played in West Africa, particularly among the Dakarkari people of Nigeria and the Zarma of Niger. It is also known as ""dill,"" ""doki"" (horse), or ""derrah."" It is described on Wikipedia and other websites, but without reference to where the cultural information was obtained.",89,89.0,,,0,1,"Dill, Doki, Derrah.",,,0,Matthew Stephenson,,34319.0,,"0,5520",0,,0,0,0,0
59,63,Five Men's Morris,,"Five Men's Morris is attested in the seventeenth century, but it is possible that it was played earlier than this. It is played on a Six Men's Morris board, but each player has five pieces. Otherwise, the rules are the same as for Six Men's Morris.",564,90.0,Murray 1951: 43,Europe,1,1,"Fivepenny Morris, Five Pin Morris, Fipenny Morrell",,,0,Eric Piette,,,"52°13'16.64""N, 0°7'59.75""W","5194,5194",0,,0,0,0,0
60,64,Gomoku,,"Gomoku (""Five Pieces"") has been played in Japan since at least the Meiji Restoration. It is also popular in Korea, where it is called ""Omok."" It was introduced to nineteenth century Britain as Go Bang.",91,91.0,Murray 1951: 50,Japan,1,1,"Omok, Go Bang, Gomok-narabe",,,0,Eric Piette,,,"43°44'50.07""N, 144°51'57.02""E","5405,5405",0,,0,0,0,0
61,66,Nine Men's Morris,,"Popular since at least the Roman Empire, Nine Men's Morris is an alignment game that is still played today. It appears in texts from Roman authors such as Ovid, and potentially may date to Hellenistic Greece.",92,92.0,Murray 1951: 45–47,Unknown,1,1,"Mills, Mill Game, Meres, Merelles, Morelles, Marelles, Ninepenny Marl, Cowboy Checkers",,,0,Eric Piette,,3886.0,"58°31'17.57""N, 31°16'33.82""E","4575,4825",0,,0,0,0,0
62,68,Round Merels,,Round Merels is a hypothesized game based on the frequent discovery of this pattern as graffiti on Roman and later monuments. It may be similar to a simple merels game but on a round board.,94,567.0,Blümlein 1918: 101-102.,Rome?,1,1,,,,0,Eric Piette,,,"37°42'23.74""N, 28°43'32.28""E","3750,4050",0,,0,0,0,0
63,69,Shisima,,"Shisima is played by the Tiriki people in Kenya on an octagonal board. The board represents a source of water (""shisima"") in the center, and the pieces are imbalavali, ""water insects."" It is a game of alignment.",95,95.0,,Kenya,1,1,,,,0,Eric Piette,,,"0°9'3.42""N, 34°50'51.41""E","5482,5482",0,,0,0,0,0
64,70,Six Men's Morris,,"Six Men's Morris was popular in Medieval Europe until about 1600 CE. It is an alignment game based on Nine Men's Morris, with similar rules.",569,96.0,Murray 1951: 42,Europe,1,1,,,,0,Eric Piette,,25702.0,"48°51'15.96""N, 2°20'54.79""E","4912,4912",0,,0,0,0,0
65,71,Tant Fant,,"Tant Fant is an alignment game documented in Bengal during the later eighteenth and early twentieth century, but is likely to be much older.",97,97.0,Murray 1951: 41,South Asia,1,1,,,,0,Eric Piette,,,"23°41'19.71""N, 86°57'58.11""E","5363,5433",0,,0,0,0,0
66,72,Three Men's Morris,,"Three Men's Morris is a simple alignment game that is still played today, that has been played in Europe for centuries. It may also appear in  Roman sources, and similar boards have been found as graffiti at Roman sites.",98,98.0,Murray 1951: 40-42.,Unknown,1,1,"Smell Merels, Castro, Pedreria, Marro, Smerelli, Mulino, Semplice Mulinello, Filo, Filetto, Tavoletta, Riga de Tre, Mérelles, Marelles, Carree Chinois, Cashlan Gherra, Qirq, Dris, Hujura, Three Men, Three Pin, Three Penny, Three Peg, Copped Crown, Corsi Crown. ",,,0,Eric Piette,,19915.0,,"0,5520",0,,0,0,0,0
67,73,Tic-Tac-Mo,,"Tic-Tac-Mo is a three player version of Tic-Tac-Toe using ""X,"" ""O,"" and ""Y"". It is played on a grid of 3x5.",99,99.0,,,0,1,,Ken Mask,,0,Eric Piette,,,,"0,5520",0,,0,0,0,0
68,74,Tic-Tac-Toe,,"Tic-Tac-Toe is a game of alignment popular among children. It is known from the nineteenth century in England and the United States, but may be older.",100,100.0,Murray 1951: 40,Unknown,1,1,"Noughts and Crosses, Oughts and Crosses, Tik Tak Tol, Tripp Trapp Trull, Tick-Tack-Toe",,,0,Eric Piette,,11901.0,"38°33'59.37""N, 86°22'16.63""W","5350,5383",0,,0,0,0,0
69,75,Twelve Men's Morris,,Twelve Men's Morris is a game of alignment known since at least the seventh century. It is played on a Nine Men's Morris board with corners of the concentric squares connected with diagonals.,101,101.0,Murray 1951:43-44.,Unknown,1,1,"Qvarn, Dubbel-Qvarn",,,0,Eric Piette,,29080.0,"32°41'0.38""N, 35°39'53.84""E","4100,4299",0,,0,0,0,0
70,76,Yavalath,,Yavalath was invented by Cameron Browne in 2007. It is played on a hexagonal board with five spaces per side. It can be played by two or three players.,102,102.0,,,0,1,,"Ludi, Cameron Browne","<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)",0,Eric Piette,,33767.0,,"0,5520",0,,0,0,0,0
71,78,Dots and Boxes,,"Dots and Boxes was invented in the nineteenth century by Édouard Lucas, calling it ""la Pipopipette."" It is a pen-and-paper game that is sometimes adapted into other forms.",103,103.0,,,0,1,La Pipopipette,Édouard Lucas,,0,Eric Piette,,17106.0,,"0,5520",0,,0,0,0,0
72,79,Reversi,,"Reversi is a game purportedly invented in the early nineteenth century by either Lewis Waterman or John W. Mollett, but may actually be an older game. It is currently sold and marketed as Othello worldwide.",104,104.0,,,0,1,Othello,,,0,Eric Piette,,2389.0,,"0,5520",0,,0,0,0,0
