Name,utility_equal,numRandom_equal,numWins_equal,utility_firsthigher,numRandom_firsthigher,numWins_firsthigher,utility_secondhigher,numRandom_secondhigher,numWins_secondhigher,utility_nosecond,numRandom_nosecond,numWins_nosecond,utility_basicheuristics,numRandom_basicheuristics,numWins_basicheuristics,
Persian Chess with a Queen,0.4,3,2,-0.2,2,1,0.2,2,2,0.6,2,3,0.2,4,1,
Amazon Chess,-0.6,4,0,-0.2,2,2,0.0,3,1,-0.2,4,0,-0.2,2,1,
Shatranj (14x14),-0.8,3,0,-0.6,4,0,-0.8,1,0,-0.4,3,0,-0.2,3,1,
1D Chess,1.0,0,5,1.0,0,5,1.0,0,5,1.0,0,5,1.0,0,5,
Maharajah Chess,1.0,5,5,0.6,4,4,0.8,4,4,0.2,2,3,0.6,5,3,
Loop Chess,0.6,0,4,0.6,0,4,0.2,0,3,-0.6,0,1,1.0,0,5,
Schachzabel,-0.6,2,0,-0.2,4,0,-0.2,4,0,-0.2,4,0,-0.2,4,0,
Grande Acedrex,0.4,7,4,-0.3,7,0,0.2,4,4,-0.1,7,1,0.3,5,4,
Los Alamos Chess,-0.8,1,0,-0.6,0,1,0.2,0,3,-0.2,2,1,-0.6,0,1,
Viking Chess,-0.2,4,0,0.0,5,0,0.0,5,0,-0.2,4,0,0.0,5,0,
Minishogi,-1.0,0,0,-0.2,0,2,-0.2,0,2,-0.6,0,1,-1.0,0,0,
Spartan Chess,0.8,1,4,0.6,3,3,0.2,2,2,0.4,1,3,0.6,2,3,
Amazon Chess,-0.8,3,0,0.2,4,1,-0.2,3,1,-0.2,3,1,0.0,3,1,
Loop Chess,0.2,0,3,-0.6,0,1,-0.2,1,2,0.2,0,3,-0.2,0,2,
Janggi,0.4,2,2,-0.6,1,0,-0.4,3,0,-0.4,4,0,0.6,2,3,
Alice Chess,0.2,4,1,-0.2,3,1,0.0,5,0,0.2,3,2,0.4,1,3,
Chandaraki,0.0,3,1,-0.4,3,0,-0.4,3,0,-0.6,2,0,-0.4,3,0,
Dice Shogi,-0.2,0,2,0.6,0,4,0.2,0,3,0.2,0,3,0.2,0,3,
Los Alamos Chess,-0.4,2,1,0.2,1,3,-0.2,0,2,-0.2,0,2,0.2,0,3,
Minishogi,-0.2,0,2,-0.6,0,1,-0.2,0,2,-0.2,0,2,-0.2,0,2,
Maharajah Chess,0.8,9,9,0.6,6,7,1.0,5,10,0.8,8,9,1.0,9,10,
Symmetric Chess,0.2,4,1,0.4,1,3,0.8,1,4,0.0,3,1,0.6,0,4,
Scachs,-0.6,1,1,-0.6,2,1,-0.6,0,1,-0.2,0,2,-0.6,2,1,
Social Distance Chess,0.4,3,2,0.8,1,4,0.8,1,4,0.8,1,4,0.4,1,3,
Shakhmaty,-0.4,1,1,-0.6,0,1,-0.8,1,0,-1.0,0,0,-0.6,0,1,
Janggi,0.4,2,3,-0.2,1,1,0.0,3,1,-0.2,4,0,-0.6,1,0,
Fischer Random Chess,-0.2,2,1,-0.8,1,0,-0.6,2,0,-0.6,2,0,-0.8,2,0,
Shatren,0.6,1,4,0.4,1,3,0.6,2,3,0.8,1,4,0.4,1,3,
Dice Shogi,-0.2,0,2,-1.0,0,0,0.6,0,4,0.6,0,4,-0.6,0,1,
Kyoto Shogi,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,
Korkserschach,-0.4,1,1,-0.2,1,2,0.0,1,2,0.6,2,3,0.4,1,3,
Loop Xiangqi,0.0,1,2,0.2,1,3,-0.6,1,1,-0.6,1,1,-0.2,1,2,
Shatranj (Algeria),0.2,0,3,1.0,0,5,0.6,0,4,0.6,0,4,0.6,0,4,
Social Distance Chess,0.2,3,2,0.6,2,3,0.2,2,2,0.8,1,4,0.8,1,4,
Shatranj (Iraq),0.6,0,4,-0.2,0,2,-0.6,0,1,0.2,0,3,-0.6,0,1,
Chatur,1.0,1,5,0.6,1,4,-0.2,3,2,0.2,1,3,-0.2,2,2,
Amazon Chess,-0.2,6,1,-0.3,8,0,-0.1,7,1,-0.2,7,1,-0.1,6,2,
Shatren,0.4,1,3,0.6,1,4,0.4,3,2,0.8,1,4,0.8,1,4,
Kyoto Shogi,-1.0,0,0,-1.0,0,0,-1.0,0,0,-0.6,0,1,-1.0,0,0,
Loop Chess,0.4,0,7,0.2,0,6,0.2,1,6,0.2,0,6,0.2,0,6,
Phase Chess,0.2,1,2,0.0,3,1,0.2,4,1,0.0,2,1,0.2,2,2,
Acedrex (Alfonso),0.4,3,2,0.0,3,1,0.0,3,1,0.2,5,1,-0.2,4,0,
Chatur,0.6,4,4,0.6,2,4,0.6,1,4,1.0,0,5,0.2,2,3,
